ID,NAME,GENDER,GRADES_PRODUCT
100001,Liam,M,93984
100002,Emma,F,4968
100003,Noah,M,132704
100004,Olivia,F,156
100005,Ava,F,209264
100006,William,M,56160
100007,Isabella,F,355770
100008,Sophia,F,336105
100009,James,M,286350
100010,Oliver,M,35100
100011,Benjamin,M,76755
100012,Charlotte,F,32967
100013,Elijah,M,127680
100014,Mia,F,501120
100015,Lucas,M,65856
100016,Mason,M,340692
100017,Logan,M,290080
100018,Amelia,F,3476
100019,Alexander,M,72224
100020,Ethan,M,121776
100021,Jacob,M,12096
100022,Michael,M,4640
100023,Daniel,M,212040
100024,Henry,M,75816
100025,Harper,F,314588
100026,Evelyn,F,353775
100027,Jackson,M,2040
100028,Sebastian,M,275184
100029,Aiden,M,159315
100030,Matthew,M,39360
100031,Abigail,F,67080
100032,Samuel,M,137376
100033,David,M,246400
100034,Joseph,M,90528
100035,Carter,M,0
100036,Owen,M,427680
100037,Wyatt,M,12810
100038,John,M,41664
100039,Jack,M,5472
100040,Emily,F,25480
100041,Luke,M,71050
100042,Jayden,M,124416
100043,Dylan,M,0
100044,Grayson,M,304668
100045,Elizabeth,F,64416
100046,Levi,M,3942
100047,Isaac,M,210
100048,Gabriel,M,252050
100049,Julian,M,118404
100050,Mateo,M,557760
100051,Mila,F,503840
100052,Ella,F,332640
100053,Avery,F,242176
100054,Anthony,M,63882
100055,Jaxon,M,29680
100056,Sofia,F,130508
100057,Camila,F,330220
100058,Aria,F,29106
100059,Lincoln,M,48620
100060,Joshua,M,133848
100061,Christopher,M,74
100062,Andrew,M,66096
100063,Scarlett,F,197208
100064,Victoria,F,38232
100065,Madison,F,39650
100066,Theodore,M,45360
100067,Caleb,M,28782
100068,Ryan,M,83187
100069,Luna,F,23240
100070,Asher,M,326480
100071,Nathan,M,1480
100072,Thomas,M,37062
100073,Grace,F,0
100074,Leo,M,109340
100075,Chloe,F,137104
100076,Isaiah,M,120848
100077,Charles,M,696072
100078,Josiah,M,110768
100079,Hudson,M,235755
100080,Christian,M,18810
100081,Penelope,F,264960
100082,Layla,F,39285
100083,Hunter,M,151528
100084,Connor,M,7360
100085,Eli,M,6210
100086,Ezra,M,454584
100087,Riley,F,127050
100088,Aaron,M,11310
100089,Zoey,F,119700
100090,Landon,M,90552
100091,Nora,F,323840
100092,Adrian,M,66930
100093,Jonathan,M,214914
100094,Lily,F,52200
100095,Eleanor,F,127488
100096,Hannah,F,48640
100097,Nolan,M,28500
100098,Jeremiah,M,15392
100099,Lillian,F,147343
100100,Easton,M,72688
100101,Elias,M,2808
100102,Colton,M,13200
100103,Cameron,M,125664
100104,Carson,M,22950
100105,Addison,F,0
100106,Aubrey,F,209264
100107,Ellie,F,139776
100108,Robert,M,69368
100109,Stella,F,10368
100110,Natalie,F,18792
100111,Zoe,F,82600
100112,Angel,M,184470
100113,Maverick,M,76
100114,Leah,F,274813
100115,Hazel,F,157176
100116,Nicholas,M,31740
100117,Violet,F,15200
100118,Aurora,F,50400
100119,Dominic,M,11248
100120,Savannah,F,222615
100121,Jaxson,M,15600
100122,Greyson,M,70034
100123,Adam,M,0
100124,Ian,M,16856
100125,Audrey,F,114210
100126,Austin,M,8303
100127,Santiago,M,64108
100128,Jordan,M,2960
100129,Brooklyn,F,109200
